Serial,Mode,Base,URL,,,,,,,,Alfajores test,,,,,,,,Comment
1,,/get/getExchangeRates,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getExchangeRates,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getExchangeRates,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getExchangeRates,,,,,,,,,,,,,,,,
,,,https://v2-mooapi-t.herokuapp.com/get/getExchangeRates,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,,/get/getReserveLiquidityRate,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getReserveLiquidityRate?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getReserveLiquidityRate?userPublicKey=796C27aB58C626075De11519dD4a49573f64967F,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getReserveLiquidityRate?userPublicKey=796C27aB58C626075De11519dD4a49573f64967F,,,,,,,,,,,,,,,,
,,,https://v2-mooapi-t.herokuapp.com/get/getExchangeRate?userPublicKey=,,,,,,,,,,,,,,,,
3,,/get/getNetWorth,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getNetWorth?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getNetWorth?userPublicKey=796C27aB58C626075De11519dD4a49573f64967F,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getNetWorth?userPublicKey=796C27aB58C626075De11519dD4a49573f64967F,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4,Redirection,/get/getReserveData,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getReserveData?currency=Celo,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getReserveData,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getReserveData,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5,,/get/getReserveData/activeUsers,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getReserveData/activeUsers,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getReserveData/activeUsers,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getReserveData/activeUsers,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,,/get/getReserveData/totalDeposited,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getReserveData/totalDeposited?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36,,,,,,,Passed,Need adjust ment for total deposit
,,,http://127.0.0.1:8000/get/getReserveData/totalDeposited,,,,,,,,,,,,,,,,
,,,http://127.0.0.1:8000/get/getReserveData/totalDeposited?currency=cUSD,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getReserveData/totalDeposited,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7,,/get/getReserveData/totalBorrowed,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getReserveData/totalBorrowed?userPublicKey=dedfe7c341ffcb43c26bdb17d6a59c2317907f36,,,,,,,Passed,Might need change add borroweVariable
,,,http://127.0.0.1:8000/get/getReserveData/totalBorrowed,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getReserveData/totalBorrowed,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8,,/get/getReserveData/total-activeUser-deposited-borrowed,,,,,,,,,https://v2-mooapi-t.herokuapp.com/get/getReserveData/total-activeUser-deposited-borrowed?currency=cEUR,,,,,,,Passed,
,,,http://127.0.0.1:8000/get/getReserveData/total-activeUser-deposited-borrowed?currency=cEUR,,,,,,,,,,,,,,,,
,,,https://mooapi.herokuapp.com/get/getReserveData/total-activeUser-deposited-borrowed?currency=cEUR,,,,,,,,,,,,,,,,
